customer_id,customer_name,gender,age,city,state,signup_date,acquisition_channel
CUST00001,Yash Kumar,Male,31.0,Bengaluru,Karnataka,2025-04-10,Direct
CUST00002,Aarav Shah,Male,35.0,Mumbai,Maharashtra,2024-06-18,Social Media
CUST00003,Naveen Chauhan,Male,26.0,Bhopal,Madhya Pradesh,2025-06-16,Social Media
CUST00004,Ishita Tiwari,Female,37.0,Pune,Maharashtra,2025-02-06,Social Media
CUST00005,Krishna Banerjee,Male,39.0,Delhi,Delhi,2023-05-20,Paid Search
CUST00006,Deepak Singh,Male,38.0,Coimbatore,Tamil Nadu,2025-09-13,Social Media
CUST00007,Rahul Reddy,Male,31.0,Gurugram,Haryana,2025-03-31,Social Media
CUST00008,Sneha Nair,Female,44.0,Rajkot,Gujarat,2025-04-20,Direct
CUST00009,Meera Desai,Female,30.0,Pune,Maharashtra,2023-07-05,Direct
CUST00010,Vihaan Chopra,Male,30.0,Ahmedabad,Gujarat,2024-06-29,Paid Search
CUST00011,Saanvi Desai,Female,47.0,Delhi,Delhi,2024-04-11,Social Media
CUST00012,Reyansh Pandey,Male,22.0,Ahmedabad,Gujarat,2025-08-07,Organic Search
CUST00013,Pooja Sharma,Female,18.0,Surat,Gujarat,2024-12-23,Referral
CUST00014,Vihaan Iyer,Male,24.0,Bengaluru,Karnataka,2025-05-19,Social Media
CUST00015,Abhishek Reddy,Male,37.0,Chennai,Tamil Nadu,2024-06-22,Direct
CUST00016,Gaurav Agarwal,Male,46.0,Pune,Maharashtra,2023-11-05,Social Media
CUST00017,Riya Malhotra,Female,26.0,Thane,Maharashtra,2024-10-05,Social Media
CUST00018,Divya Pandey,Female,51.0,Mumbai,Maharashtra,2023-04-07,Organic Search
CUST00019,Swati Rao,Female,33.0,Nashik,Maharashtra,2025-05-23,Social Media
CUST00020,Manish Chauhan,Male,32.0,Chennai,Tamil Nadu,2024-12-12,Paid Search
CUST00021,Rahul Das,Male,25.0,Jaipur,Rajasthan,2025-03-29,Paid Search
CUST00022,Yash Kumar,Male,53.0,Gurugram,Haryana,2024-03-25,Organic Search
CUST00023,Yash Yadav,Male,31.0,Delhi,Delhi,2025-09-09,Organic Search
CUST00024,Vikram Mehta,Male,20.0,Rajkot,Gujarat,2025-07-13,Referral
CUST00025,Aadhya Agarwal,Female,58.0,Vadodara,Gujarat,2025-04-14,Social Media
CUST00026,Anjali Das,Female,37.0,Guwahati,Assam,2023-09-27,Organic Search
